id,term,normalized_term,language,category,description,example,aliases,regex_pattern,notes,,,,,,,,,,
,,Молочина,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Мэнис,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Молоканка,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Буча в Приморском крае это слово звучит как Молоханка (по теории от озера Ханка,,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,в районах которого процветает выращивание высококачественной конопли),,,отвар из молока и кустов конопли.,,,,,,,,,,,,,,
,,Мягкий,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Пластид,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Черный Русский,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Мякиш,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Резина,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Покрышка,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Мацанка,,,"гашиш, по консистенции напоминающий пластилин.",,,,,,,,,,,,,,
,,Напас,,,один колпачок (из наперстка) травы сухой марихуаны.,,,,,,,,,,,,,,
,,Плюха,,,сплющенный кусочек гашиша.,,,,,,,,,,,,,,
,,Плюшка,,,сплющенный кусочек гашиша.,,,,,,,,,,,,,,
,,Плюшенция,,,сплющенный кусочек гашиша.,,,,,,,,,,,,,,
,,Родинка,,,сплющенный кусочек гашиша.,,,,,,,,,,,,,,
,,Ляп,,,порошок амфетамина/метамфетамина.,,,,,,,,,,,,,,
,,Ляпочка,,,порошок амфетамина/метамфетамина.,,,,,,,,,,,,,,
,,Промокашка,,,"небольшой кусочек плотной бумаги, пропитанный раствором ЛСД.",,,,,,,,,,,,,,
,,Бумага,,,"небольшой кусочек плотной бумаги, пропитанный раствором ЛСД.",,,,,,,,,,,,,,
,,Роготряс,,,"Трава чем то похожая на СПАЙС, химически экстрагированный спиртом, ацетоном или эфиром THC из Полевой ромашки и марихуанны. Обладает сильным эффектом одурманивания, После курения быстро накрывает через 10 - 30 секунд.",,,,,,,,,,,,,,
,,Рогиш,,,"Трава чем то похожая на СПАЙС, химически экстрагированный спиртом, ацетоном или эфиром THC из Полевой ромашки и марихуанны. Обладает сильным эффектом одурманивания, После курения быстро накрывает через 10 - 30 секунд.",,,,,,,,,,,,,,
,,Рога,,,"Трава чем то похожая на СПАЙС, химически экстрагированный спиртом, ацетоном или эфиром THC из Полевой ромашки и марихуанны. Обладает сильным эффектом одурманивания, После курения быстро накрывает через 10 - 30 секунд.",,,,,,,,,,,,,,
,,Сахар,,,"небольшой кусок сахара-рафинада, пропитанный ЛСД.",,,,,,,,,,,,,,
,,Сыпуха,,,наркотик в порошкообразном виде.,,,,,,,,,,,,,,
,,Шмыга,,,порошок высокопробного амфетамина.,,,,,,,,,,,,,,
,,Химка,,,"химически экстрагированный спиртом, ацетоном или эфиром THC из марихуаны, гашиша или пыли.",,,,,,,,,,,,,,
,,Агрегат,,,"весы любого типа, чаще всего рычажные, для взвешивания наркотиков и ингредиентов для их изготовления.",,,,,,,,,,,,,,
,,Часы,,,"весы любого типа, чаще всего рычажные, для взвешивания наркотиков и ингредиентов для их изготовления.",,,,,,,,,,,,,,
,,Часики (из-за сходства с электронными часами),,,"весы любого типа, чаще всего рычажные, для взвешивания наркотиков и ингредиентов для их изготовления.",,,,,,,,,,,,,,
,,Аппаратура,,,"набор посуды, химических реактивов и шприцев, необходимых для кустарного изготовления наркотиков.",,,,,,,,,,,,,,
,,Бульбулятор,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Бурбулятор,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Буль,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Бульбик,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Булик,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Бонг,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Булич,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Батл,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Шатл,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Ферик,,,Самодельный кальян из бутылки для курения гашиша и марихуаны.,,,,,,,,,,,,,,
,,Отгон,,,приспособление для выгона излишков йода при изготовлении винта.,,,,,,,,,,,,,,
,,Струна,,,игла шприца.,,,,,,,,,,,,,,
,,Машина,,,шприц.,,,,,,,,,,,,,,
,,Инструмент,,,шприц.,,,,,,,,,,,,,,
,,Боец,,,шприц.,,,,,,,,,,,,,,
,,Чпок,,,шприц.,,,,,,,,,,,,,,
,,Красная Шапочка,,,шприц.,,,,,,,,,,,,,,
,,Факел,,,"трубка, свёрнутая из бумаги, используемая для варки ханки в походных условиях.",,,,,,,,,,,,,,
,,Чек,,,"рецепт на медицинские препараты. Так же, чеком называют лист бумаги, сложенный специальным образом, для удобного хранения марихуаны; дозу любого наркотика. В основном используется в среде героиновых наркоманов.",,,,,,,,,,,,,,
,,Водник,,,"приспособление, состоящее из 2х бутылок разного объема, предназначенный для курения марихуаны, самодельный кальян.",,,,,,,,,,,,,,
,,Водный,,,"приспособление, состоящее из 2х бутылок разного объема, предназначенный для курения марихуаны, самодельный кальян.",,,,,,,,,,,,,,
,,Мамба,,,"приспособление, состоящее из 2х бутылок разного объема, предназначенный для курения марихуаны, самодельный кальян.",,,,,,,,,,,,,,
,,Мокрый,,,"приспособление, состоящее из 2х бутылок разного объема, предназначенный для курения марихуаны, самодельный кальян.",,,,,,,,,,,,,,
,,Берушировать,,,фильтровать кустарно изготовленный препарат опия через беруши (для ушей).,,,,,,,,,,,,,,
,,Бодяжить,,,"разбавлять наркотики бутором с целью повышения дохода от перепродажи за счёт увеличения объёма или для снижения крепости наркотика, приготовленного для себя.",,,,,,,,,,,,,,
,,Варить,,,готовить раствор для инъекции (в отношении ханки).,,,,,,,,,,,,,,
,,Забить,,,наполнить патрон папиросы курительной смесью.,,,,,,,,,,,,,,
,,Заколотить,,,наполнить патрон папиросы курительной смесью.,,,,,,,,,,,,,,
,,Заляпать (косяк),,,наполнить патрон папиросы курительной смесью.,,,,,,,,,,,,,,
,,Кирячнуть,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Килешануть,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Табачнуть,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Растабачить,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Буторить,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Разбуторить,,,"разбавить марихуану с предварительно подсушеным зажигалкой табаком (для увеличения количества, либо для уменьшения горечи при курении).",,,,,,,,,,,,,,
,,Бодяга,,,чрезмерно разбавленный наркотик.,,,,,,,,,,,,,,
,,Болт,,,неудавшийся раствор винта.,,,,,,,,,,,,,,
,,Кислый,,,"уксусный ангидрид, используемый для приготовления раствора для инъекции из ханки.",,,,,,,,,,,,,,
,,Компот,,,1. приготовленный из ханки раствор для инъекции (название связано со светло-коричневым цветом раствора); 2. химические реактивы (компоненты) для изготовления первитина кустарным способом.,,,,,,,,,,,,,,
,,Красный,,,красный фосфор для изготовления первитина.,,,,,,,,,,,,,,
,,Нифеля,,,ненужные остатки от приготовления наркотиков.,,,,,,,,,,,,,,
,,Дрэк:(,,,"сорная конопля, марихуана неудовлетворительного качества.",,,,,,,,,,,,,,
,,Дикуха,,,"сорная конопля, марихуана неудовлетворительного качества.",,,,,,,,,,,,,,
,,Ботва,,,"высушенные стебли и части куста, малопригодные к употреблению, в виде примеси к приготовленной марихуане.",,,,,,,,,,,,,,
,,Дрова,,,"высушенные стебли и части куста, малопригодные к употреблению, в виде примеси к приготовленной марихуане.",,,,,,,,,,,,,,
,,Бутор,,,"различные побочные добавки к марихуане, примеси, увеличивающие её видимое количество и ухудшающие качество, а также любой мусор, попавший при изготовлении травы.",,,,,,,,,,,,,,
,,Бошки,,,"соцветия женских растений конопли, верхушка куста конопли, собираемая в качестве урожая высшего сорта из-за наивысшего содержания ТГК.",,,,,,,,,,,,,,
,,Бошечки,,,"соцветия женских растений конопли, верхушка куста конопли, собираемая в качестве урожая высшего сорта из-за наивысшего содержания ТГК.",,,,,,,,,,,,,,
,,Бохи,,,"соцветия женских растений конопли, верхушка куста конопли, собираемая в качестве урожая высшего сорта из-за наивысшего содержания ТГК.",,,,,,,,,,,,,,
,,Кропали,,,остатки дозы марихуаны.,,,,,,,,,,,,,,
,,Ошмётки,,,остатки дозы марихуаны.,,,,,,,,,,,,,,
,,Пятка,,,остатки дозы марихуаны.,,,,,,,,,,,,,,
,,Децл,,,остатки дозы марихуаны.,,,,,,,,,,,,,,
,,Шалашка,,,остатки измельчённой марихуаны после просева и получения пыли.,,,,,,,,,,,,,,
,,Шалуха,,,остатки измельчённой марихуаны после просева и получения пыли.,,,,,,,,,,,,,,
,,Шалва,,,остатки измельчённой марихуаны после просева и получения пыли.,,,,,,,,,,,,,,
,,Шалка,,,остатки измельчённой марихуаны после просева и получения пыли.,,,,,,,,,,,,,,
,,Золотой укол,,,введение себе наркоманом смертельной дозы наркотика с целью суицида.,,,,,,,,,,,,,,
,,Золотая доза,,,введение себе наркоманом смертельной дозы наркотика с целью суицида.,,,,,,,,,,,,,,
,,Юзать,,,(английский: использовать) употреблять наркотики. *Данный термин так же используется в компьютерном сленге.,,,,,,,,,,,,,,
,,Взорвать косяк,,,"поджечь, раскурить папиросу или сигарету с марихуаной (Косяк).",,,,,,,,,,,,,,
,,Добить косяк,,,докурить папиросу с марихуаной.,,,,,,,,,,,,,,
,,протинуть,,,докурить папиросу с марихуаной.,,,,,,,,,,,,,,
,,Раскуриться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Дубасить,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Закинуться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Дубаснуть,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Дунуть,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Подуть,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Поддуться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Подлечиться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Почитать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Пыхнуть,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Хапать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Фугашить,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Фагать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Фыгать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Шабить,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Долбить,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Нажигать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Курнуть,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Напаснуться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Искупиться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Обесточиться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Закудрявить,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Убиться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Покуряхать,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Навиталиться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Навалериться,,,"курение марихуаны, гашиша.",,,,,,,,,,,,,,
,,Хапка,,,"отдельный вдох, затяжка дыма марихуаны.",,,,,,,,,,,,,,
,,Наколотилово,,,состояние наркомана после приема большого количества наркотика (гашиш).,,,,,,,,,,,,,,
,,Полное уничтожение,,,состояние наркомана после приема большого количества наркотика (гашиш).,,,,,,,,,,,,,,
,,Паровоз,,,"метод вдыхания дыма курительных веществ. Заключается в том, что один участник берёт косяк в рот зажжённым концом и интенсивно выдыхает через него воздух, создавая плотный быстрый поток дыма, который вдыхает второй участник глубоким вдохом. Задуть паровоз — выдохнуть дым для его вдоха другим человеком.",,,,,,,,,,,,,,
,,Парик,,,"метод вдыхания дыма курительных веществ. Заключается в том, что один участник берёт косяк в рот зажжённым концом и интенсивно выдыхает через него воздух, создавая плотный быстрый поток дыма, который вдыхает второй участник глубоким вдохом. Задуть паровоз — выдохнуть дым для его вдоха другим человеком.",,,,,,,,,,,,,,
,,Забить гвоздь,,,"при выдувании Паровоза создать очень сильный поток дыма, от которого у вдыхающего возникает кашель.",,,,,,,,,,,,,,
,,Подлечить,,,"при неравномерном горении косяка смазать слюной часть папиросной бумаги, чтобы процесс горения распространялся равномерно.",,,,,,,,,,,,,,
,,Залечить,,,"при неравномерном горении косяка смазать слюной часть папиросной бумаги, чтобы процесс горения распространялся равномерно.",,,,,,,,,,,,,,
,,Бахаться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Втюхаться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Двинуться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Ляпать,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Ляпнутся,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Проставляться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Пыряться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Ставиться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Трескаться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Ужалиться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Хлопнуться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Шваркаться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Ширяться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Шпигаться,,,"принимать наркотик внутривенно, делать инъекцию.",,,,,,,,,,,,,,
,,Винтиться,,,употреблять внутривенно первитин] или другие наркотики группы стимуляторов (например амфетамин).,,,,,,,,,,,,,,
,,Дома,,,попасть в вену.,,,,,,,,,,,,,,
,,Контроль,,,определение по цвету венозной или артериальной крови в шприце.,,,,,,,,,,,,,,
,,Клизма,,,внутривенная инъекция.,,,,,,,,,,,,,,
,,С ветром,,,струйная внутривенная инъекция под давлением.,,,,,,,,,,,,,,
,,Ебашить (ебошить),,,употреблять в неограниченных количествах.,,,,,,,,,,,,,,
,,Закинуть,,,принять наркотик перорально.,,,,,,,,,,,,,,
,,Понюхон,,,процесс употребления амфетамина.,,,,,,,,,,,,,,
,,Зюк,,,процесс употребления амфетамина.,,,,,,,,,,,,,,
,,Зюкнуть,,,процесс употребления амфетамина.,,,,,,,,,,,,,,
,,Юзануть,,,процесс употребления амфетамина.,,,,,,,,,,,,,,
,,Приколоться,,,"употребить наркотик, в частности амфетамин.",,,,,,,,,,,,,,
,,Банка,,,приспособление для курения марихуаны или гашиша из жестяной или стеклянной банки.,,,,,,,,,,,,,,
,,Баклаха,,,приспособление для курения марихуаны состоящее обычно из одной или двух пластиковых бутылок («баклажек»).,,,,,,,,,,,,,,
,,Шмэбл,,,приспособление для курения марихуаны состоящее обычно из одной или двух пластиковых бутылок («баклажек»).,,,,,,,,,,,,,,
,,Сухой,,,приспособление для курения марихуаны состоящее обычно из одной или двух пластиковых бутылок («баклажек»).,,,,,,,,,,,,,,
,,Баттл,,,"бутылка) — разновидность бульбулятора из бутылок, например, со вставленной трубкой и налитой внутрь водой для охлажения вдыхаемого дыма.",,,,,,,,,,,,,,
,,Боттл (английский,,,"бутылка) — разновидность бульбулятора из бутылок, например, со вставленной трубкой и налитой внутрь водой для охлажения вдыхаемого дыма.",,,,,,,,,,,,,,
,,Ружье,,,"приспособление для курения марихуаны, состоящее из небольшой пластиковой бутылки и пипетки. В бутылке, на боковой стенке, ближе к донной части проделываются 2 отверстия: одно — размером с пипетку, второе — побольше. В меньшее по размеру отверстие вставляется пипетка с надетой на неё резинкой (у резинки предварительно отрывается закрытый конец), забитая травой, большее отверстие закрывается пальцем во время курения. Также можно купить готовый бонг в большинстве кальянных магазинов (примерно 300—600 рублей).",,,,,,,,,,,,,,
,,Крыса,,,"приспособление для курения в виде пластиковой бутылки с целлофановым пакетом, надетым на месте отрезанного дна для сбора дыма, разновидность бульбулятора.",,,,,,,,,,,,,,
,,Парашют,,,"приспособление для курения в виде пластиковой бутылки с целлофановым пакетом, надетым на месте отрезанного дна для сбора дыма, разновидность бульбулятора.",,,,,,,,,,,,,,
,,Хлопушка,,,"приспособление для курения в виде пластиковой бутылки с целлофановым пакетом, надетым на месте отрезанного дна для сбора дыма, разновидность бульбулятора.",,,,,,,,,,,,,,
,,Хлопарь,,,"приспособление для курения в виде пластиковой бутылки с целлофановым пакетом, надетым на месте отрезанного дна для сбора дыма, разновидность бульбулятора.",,,,,,,,,,,,,,
,,Котелок,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Хопчик,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Флейта,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Барсик,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Гусь,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Утка,,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Сухой (сухой бульбулятор),,,разновидности бульбулятора — приспособление для курения марихуаны.,,,,,,,,,,,,,,
,,Пипетка,,,приспособление для курения марихуаны. Используется обычная медицинская пипетка в пластиковой упаковке и пружина от зажигалки. Предварительно сняв с пипетки резиновую часть зажигалкой нагревается узкий край пипетки. Горячим краем пипетки протыкается узкий кончик пластиковой упаковки. Затем в пипетку вставляется пружика от зажигалки и просовывается до узкого конца. С помощью втягивания воздуха в стеклянную колбу пипетки набирается марихуана. Стеклянная часть нагревается на огне и вытягивается дым.,,,,,,,,,,,,,,
,,Фошка,,,"деталь бульбулятора в виде напёрстка или фольги с мелкими отверстиями, в которую насыпается марихуана, устанавливаемая на место крышки пластиковой бутылки.",,,,,,,,,,,,,,
,,Колпак,,,"деталь бульбулятора в виде напёрстка или фольги с мелкими отверстиями, в которую насыпается марихуана, устанавливаемая на место крышки пластиковой бутылки.",,,,,,,,,,,,,,
,,Напёрсток,,,"деталь бульбулятора в виде напёрстка или фольги с мелкими отверстиями, в которую насыпается марихуана, устанавливаемая на место крышки пластиковой бутылки.",,,,,,,,,,,,,,
,,Напер,,,"деталь бульбулятора в виде напёрстка или фольги с мелкими отверстиями, в которую насыпается марихуана, устанавливаемая на место крышки пластиковой бутылки.",,,,,,,,,,,,,,
,,Крестовик,,,"самый лучший из видов стационарных колпаков из наперстка,вместо мелких отверстий, прорезь крест на крест.",,,,,,,,,,,,,,
,,Девайс (английский,,,"устройство, приспособление), Пайп (английский), Костыль — металлическая, изогнутая трубка для «сухого» курения марихуаны.",,,,,,,,,,,,,,
,,Вапорайзер (английский,,,"испаритель) — прибор, в котором марихуана подвергается точно заданной высокой температуре, не достигающей температуры горения, для испарения только активных веществ без смол и примесей.",,,,,,,,,,,,,,
,,Фрукт,,,"яблоко, груша и т. п. с проделанными в нём отверстиями для курения.",,,,,,,,,,,,,,
,,Блант (английский,,,"тупой, неострый) — скрученный косяк из папиросной бумаги, ""начинкой"" которого является курительный табак и размельченный гашиш.",,,,,,,,,,,,,,
,,Гильза,,,очищенный от табака патрон папиросы без фильтра для забивания косяка.,,,,,,,,,,,,,,
,,Патрон,,,очищенный от табака патрон папиросы без фильтра для забивания косяка.,,,,,,,,,,,,,,
,,Труба,,,очищенный от табака патрон папиросы без фильтра для забивания косяка.,,,,,,,,,,,,,,
,,Джойнт (английский,,,"скрутка), Штакет — папироса, сигарета или самокрутка наполненная марихуаной.",,,,,,,,,,,,,,
,,Попик,,,скрученая узкая (от 1—2 см) длинная бумажка. Используется как фильтр в косяках; реже называется Таракан или Роуч (английский).,,,,,,,,,,,,,,
,,Свисток,,,скрученая узкая (от 1—2 см) длинная бумажка. Используется как фильтр в косяках; реже называется Таракан или Роуч (английский).,,,,,,,,,,,,,,
,,Пыж,,,скрученая узкая (от 1—2 см) длинная бумажка. Используется как фильтр в косяках; реже называется Таракан или Роуч (английский).,,,,,,,,,,,,,,
,,Ракета,,,"большая забитая марихуаной папироса (большой штакет, косяк).",,,,,,,,,,,,,,
,,Сплиф,,,(английский) самокрутка из папиросной бумаги и бумажного фильтра (реже называется Болт или Дуби); Козья ножка — самокрутка для плана «Г» — образной формы.,,,,,,,,,,,,,,
,,Алберка,,,медицинский шприц для введения наркотиков.,,,,,,,,,,,,,,
,,Аппарат,,,медицинский шприц для введения наркотиков.,,,,,,,,,,,,,,
,,Боинг,,,медицинский шприц для введения наркотиков.,,,,,,,,,,,,,,
,,Дизель,,,медицинский шприц для введения наркотиков.,,,,,,,,,,,,,,
,,Лайба,,,медицинский шприц для введения наркотиков.,,,,,,,,,,,,,,
,,Весло,,,"ложка, на которой разогревают героин.",,,,,,,,,,,,,,
,,Вторяк,,,"небольшой кусочек ваты, через который процеживается приготовленный раствор наркотика (ханки, реже героина), содержит небольшое количество наркотика, поэтому обычно сохраняется наркоманами «на чёрный день» для снятия или облегчения явлений абстиненции. Термин может употреблятся по отношению и к другим наркотикам, прежде всего — к первитину.",,,,,,,,,,,,,,
,,Гвоздь,,,"игла шприца, которой осуществляется инъекция.",,,,,,,,,,,,,,
,,Канюля,,,"игла шприца, которой осуществляется инъекция.",,,,,,,,,,,,,,
,,Колючка,,,"игла шприца, которой осуществляется инъекция.",,,,,,,,,,,,,,
,,Петух,,,"ватный фильтр, наматываемый на медицинскую иглу, для фильтрации поступающего в шприц раствора наркотика.",,,,,,,,,,,,,,
,,Метла,,,"ватный фильтр, наматываемый на медицинскую иглу, для фильтрации поступающего в шприц раствора наркотика.",,,,,,,,,,,,,,
,,Смывки,,,"использованные чеки или смытые со стенок фурика остатки первитина применяемые для снятия ломки или того, чтобы догнаться.",,,,,,,,,,,,,,
,,Фурик,,,небольшая ёмкость для приготовления дозы наркотика (обычно героина или первитина) к употреблению; небольшая емкость с наркотиком. Обычно используется пробирка.,,,,,,,,,,,,,,
,,Антенна,,,желание употребить наркотик. Набил антенну — кто-либо позвонил предложил.,,,,,,,,,,,,,,
,,Алик,,,продавец амфетаминов.,,,,,,,,,,,,,,
,,Аптекарь,,,"1. медицицинский работник, у которого наркоманы покупают наркотики; 2. наркоман, который умеет изготовлять наркотики.",,,,,,,,,,,,,,
,,Бабай,,,торговец наркотиками из Средней Азии.,,,,,,,,,,,,,,
,,Барыга (из блатного жаргона,,,"преступающий закон продавец), Дилер (английский — торговец, посредник), Пушер (английский — толкатель), Толкач, Банчила, Фармацевт — торговец наркотиками в розницу.",,,,,,,,,,,,,,
,,Знахарь,,,"человек, продающий растительные наркотические средства собственного производства.",,,,,,,,,,,,,,
,,Бегунок,,,"наркоман-посредник, осуществляющий связь между покупающим наркотик и конкретным наркодилером, получающий за свои услуги часть прибыли, обычно в виде дозы наркотика (явление распространено не повсеместно). (Уголовно наказуемое деяние)",,,,,,,,,,,,,,
,,Берун,,,"наркоман-посредник, осуществляющий связь между покупающим наркотик и конкретным наркодилером, получающий за свои услуги часть прибыли, обычно в виде дозы наркотика (явление распространено не повсеместно). (Уголовно наказуемое деяние)",,,,,,,,,,,,,,
,,Помогала,,,посредник между продавцом наркотика и конечным покупателем. Помогать — заниматься перепродажей наркотиков. (Уголовно наказуемое деяние),,,,,,,,,,,,,,
,,Дед Мороз,,,"человек, передающий наркоману героин, кокаин, скорость, или любое другое наркотическое средство в порошкообразном виде белого или светлого цвета.",,,,,,,,,,,,,,
,,Смотрящий,,,участники массового сбыта наркотиков.,,,,,,,,,,,,,,
,,Направляющие,,,участники массового сбыта наркотиков.,,,,,,,,,,,,,,
,,Разводящий,,,участники массового сбыта наркотиков.,,,,,,,,,,,,,,
,,Яма,,,источник получения наркотиков.,,,,,,,,,,,,,,
,,Цех,,,источник получения наркотиков.,,,,,,,,,,,,,,
,,Банчить,,,заниматься перепродажей наркотиков и запрещённых веществ в малых количествах.,,,,,,,,,,,,,,
,,Вырубать,,,заниматься покупкой наркотиков и запрещённых веществ с целью перепродажи либо собственного использования.,,,,,,,,,,,,,,
,,Подгон,,,"подарок, доставка наркотика или запрещённого вещества.",,,,,,,,,,,,,,
,,Подогрев,,,"наркотик или запрещённое вещество, полученные безвозмездно, часто в виде вознаграждения за оказанную помощь при покупке «товара».",,,,,,,,,,,,,,
,,Грев,,,"наркотик или запрещённое вещество, полученные безвозмездно, часто в виде вознаграждения за оказанную помощь при покупке «товара».",,,,,,,,,,,,,,
,,Взгрев,,,"наркотик или запрещённое вещество, полученные безвозмездно, часто в виде вознаграждения за оказанную помощь при покупке «товара».",,,,,,,,,,,,,,
,,Кинуть,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Шваркнуть,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Вымутить,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Напарить,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Налечить,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Пролечить,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Наездить,,,"обмануть лицо которое хотело купить вещество, с целью забрать себе деньги или наркотик.",,,,,,,,,,,,,,
,,Абрикос,,,"(abibos, объе..с) (малолетний) потребитель «круглых».",,,,,,,,,,,,,,
,,Аппер (английский,,,"высший) — наркоман, употребляющий амфетамины.",,,,,,,,,,,,,,
,,Абстинент,,,"наркоман, находящийся в состоянии наркотического голодания.",,,,,,,,,,,,,,
,,Анашист,,,"человек, употребляющий марихуану или гашиш.",,,,,,,,,,,,,,
,,Бэн,,,наркоман.,,,,,,,,,,,,,,
,,Джон,,,наркоман.,,,,,,,,,,,,,,
,,Валёк,,,"человек, неумеренно употребляющий ЛСД.",,,,,,,,,,,,,,
,,Винтовой,,,"наркоман, употребляющий внутривенные наркотики группы стимуляторов (первитин, амфетамин, эфедрин).",,,,,,,,,,,,,,
